query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
DDR4 RDIMM 32GB,Samsung DDR4 16GB PC4 2933Y M393A2K40CB2-CVFBY Server...,75.00,EUR,Gebraucht,heppo88,https://www.ebay.de/itm/257512166314?_skw=DDR4+RDIMM+32GB&hash=item3bf4ebd3aa:g:GtgAAeSwH5FqCtxq,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung DDR4 RAM 32GB (2x16GB) PC4-2666V RDIMM M393A2K40CB2,75.00,EUR,Gebraucht,embrn0,https://www.ebay.de/itm/227495435908?_skw=DDR4+RDIMM+32GB&hash=item34f7c8de84:g:3ZQAAeSw9zVqRVB~,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,8GB 16GB 32GB 64GB DDR4 Server RAM 2133 2400 2666 2933 3200 MHz RDIMM 19% MwSt.,79.00,EUR,Gebraucht,fibich.onlinehandel,https://www.ebay.de/itm/406907044017?_skw=DDR4+RDIMM+32GB&hash=item5ebd8cc0b1:g:eCcAAeSw9yVp5p6l,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,SK Hynix 32GB DDR4 ECC RAM 2133 CL15,79.00,EUR,Gebraucht,juliusschall,https://www.ebay.de/itm/298266357739?_skw=DDR4+RDIMM+32GB&hash=item45720f6feb:g:NyMAAeSw1URp7zM8,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Micron MTA36ASF4G72PZ-2G6D1SG - 32GB DDR4 2666 RDIMM,89.00,EUR,Gebraucht,oberzivi83,https://www.ebay.de/itm/147268813775?_skw=DDR4+RDIMM+32GB&hash=item2249e7c3cf:g:daEAAeSwyAtpsXbM,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB DDR4 RDIMM 2400Mhz | MTA36ASF4G72PZ-2G3B1 2Rx4,85.00,EUR,Gebraucht,marviwend3,https://www.ebay.de/itm/178175417774?_skw=DDR4+RDIMM+32GB&hash=item297c151dae:g:WlQAAeSwj1JqGc41,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung 32GB DDR4 2400 ECC RDIMM,85.00,EUR,Gebraucht,drproto,https://www.ebay.de/itm/117116717496?_skw=DDR4+RDIMM+32GB&hash=item1b44b349b8:g:LHEAAeSwEhNpyqhM,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB Micron DDR4 ECC REG Server RAM PC4-2133P RDIMM 288Pin,87.00,EUR,Gebraucht,mubidonline,https://www.ebay.de/itm/800039881537?_skw=DDR4+RDIMM+32GB&hash=itemba4617cb41:g:fbcAAeSwPeFqDF2R,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB 4x8GB DDR4 Samsung Arbeitsspeicher RAM REG ECC M393A1K43BB0-CRC PC4-19200R,89.99,EUR,Gebraucht,el_ruto,https://www.ebay.de/itm/168469958307?_skw=DDR4+RDIMM+32GB&hash=item2739978ea3:g:F04AAeSwDDxqM7Dl,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,"Samsung 32GB DDR4 RDIMM RAM - 2Rx4, PC4-2400T (M393A4K0BB1-CRC0Q)",77.86,EUR,Used,dragoon2097,https://www.ebay.de/itm/267642420387?_skw=DDR4+RDIMM+32GB&hash=item3e50bb3ca3:g:xvUAAeSw0Qpp4ksQ,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,HPE 32GB DDR4-2400 ECC RDIMM SK Hynix HMA84GR7AFR4N-UH,99.00,EUR,Gebraucht,mar-960606,https://www.ebay.de/itm/820035205020?_skw=DDR4+RDIMM+32GB&hash=itembeede8379c:g:hKsAAeSw3h9qid-I,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,SK Hynix 32GB (4x 8GB) ECC RAM 2Rx8 DDR4 HMA41GR7AFR8N-TF PC4-2133P-RE0-11,81.79,EUR,Used,janh007,https://www.ebay.de/itm/377303754078?_skw=DDR4+RDIMM+32GB&hash=item57d90e655e:g:AZ8AAeSwxiZqKxbf,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,32GB Kit (4x8GB) SK Hynix DDR4-2133 ECC RDIMM 2Rx8 PC4-17000 HMA41GR7AFR8N-TF,99.80,EUR,Gebraucht,bitract,https://www.ebay.de/itm/137629976381?_skw=DDR4+RDIMM+32GB&hash=item200b62c73d:g:rmUAAeSw7pFqEo71,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung 32GB 4DRx4 PC4-17000 DDR4-2133MHz LRDIMM Server RAM - M386A4G40DM0-CPB0Q,99.97,EUR,Gebraucht,elektrocenter24,https://www.ebay.de/itm/287545058726?_skw=DDR4+RDIMM+32GB&hash=item42f30565a6:g:S5AAAeSwjspqjYmR,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,"HP 32GB, 2400MHz, PC4-2400T-R, DDR4, dual-rank x4, 1.20V",100.00,EUR,Gebraucht,joju_8542,https://www.ebay.de/itm/188609402551?_skw=DDR4+RDIMM+32GB&hash=item2be9ff16b7:g:tBsAAeSwWl5qTDqG,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Samsung 32GB DDR4 2Rx4 PC4-2400T (ECC Rgistered RDIMM) M393A4K40CB2-CRC41-12-MC0,95.00,EUR,Gebraucht,tjark.s.02,https://www.ebay.de/itm/397935933583?_skw=DDR4+RDIMM+32GB&hash=item5ca6d4788f:g:Yu0AAeSwwSZqAdH-,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,„Micron 32GB DDR4-2666 ECC RDIMM 2Rx4 MTA36ASF4G72PZ-2G6J1QI Server RAM,100.00,EUR,Gebraucht,max_from_the_hex,https://www.ebay.de/itm/336765895289?_skw=DDR4+RDIMM+32GB&hash=item4e68cfc279:g:QhIAAeSwyIRqjfQe,EBAY_DE,74.936,148.5
DDR4 RDIMM 32GB,Hynix DDR4 32GB (1x32GB) PC4-2133P HMA84GR7MFR4N-TF Server Arbeitsspeicher RAM,80.00,EUR,Gebraucht,logihanns,https://www.ebay.de/itm/168615920220?_skw=DDR4+RDIMM+32GB&hash=item27424ac25c:g:jtQAAeSwkNxqgIVZ,EBAY_DE,74.936,148.5
