query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
Nvidia Quadro RTX,NVIDIA Quadro RTX 5000 – 3072 CUDA / 16GB GDDR6 / RT‑ & Tensor‑Cores / DP 1.4,570.00,EUR,Gebraucht,burc-3871,https://www.ebay.de/itm/377333317958?_skw=Quadro+RTX&hash=item57dad18146:g:HMcAAeSwzZZqUKhl,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,HP Nvidia Quadro RTX 5000 16GB GDDR6 PCIe 3.0 X16 4x DP 1x USB-C GPU L44055-001,569.62,EUR,Used,servershopping,https://www.ebay.de/itm/127825756609?_skw=Quadro+RTX&hash=item1dc30241c1:g:HGcAAeSweFVp6gbo,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA QUADRO RTX 4000 8GB GDDR6 Graphic Card,650.00,EUR,Gebraucht,ruixiu,https://www.ebay.de/itm/286690115998?_skw=Quadro+RTX&hash=item42c010019e:g:IxwAAOSwn2Nl6ozW,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA QUADRO RTX 4000 8GB GDDR6 Graphic Card,650.00,EUR,Gebraucht,newdisk,https://www.ebay.de/itm/127218727595?_skw=Quadro+RTX&hash=item1d9ed3baab:g:Z7wAAeSwScZoa6Fp,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA Quadro RTX 4000 Professional Grafikkarte 8GB GDDR6 GPU getestet,675.68,EUR,Gebraucht,risingsungaming,https://www.ebay.de/itm/206491453056?_skw=Quadro+RTX&hash=item3013d98680:g:WYgAAeSw7Ddqf3Pp,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA Quadro RTX 4000 Professional Grafikkarte 8GB GDDR6 PCIe x16 getestet,686.05,EUR,Gebraucht,risingsungaming,https://www.ebay.de/itm/206365991879?_skw=Quadro+RTX&hash=item300c5f23c7:g:ldQAAeSw1cZqOHWT,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,Nvidia Quadro RTX 5000 16GB GDDR6 256 Bit PCI Express x16 3.0,699.00,EUR,Gebraucht,smg-germany,https://www.ebay.de/itm/147455604808?_skw=Quadro+RTX&hash=item225509f848:g:B5cAAeSw0-xqceoo,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA QUADRO RTX 4000 8GB GDDR6 288 cores Graphic Card 256-bit 160W,715.00,EUR,Gebraucht,sinobright,https://www.ebay.de/itm/186361101619?_skw=Quadro+RTX&hash=item2b63fcbd33:g:LUMAAOSwBOtl~pL1,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA QUADRO RTX 4000 8GB GDDR6 Graphic Card,715.00,EUR,Gebraucht,zepenl-0,https://www.ebay.de/itm/176294482916?_skw=Quadro+RTX&hash=item290bf853e4:g:1RQAAOSwoAtl-WvV,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,"Nvidia Quadro RTX 5000 16 GB RAM GDDR6 PCIe 3.0 x16 sgt. Zustand, gereinigt",749.00,EUR,Gebraucht,mausi_42,https://www.ebay.de/itm/276431971210?_skw=Quadro+RTX&hash=item405ca1238a:g:NpsAAOSwp89mIpiV,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,"NVIDIA Quadro RTX 5000, 16GB, GDDR6, Grafikkarte, Top für KI, ML, Deep Learning",765.00,EUR,Gebraucht,workstation4u,https://www.ebay.de/itm/257688102476?_skw=Quadro+RTX&hash=item3bff68664c:g:Ph4AAeSwh3NqhES6,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,"Nvidia Quadro RTX 5000 Workstation-GPU 16 GB GDDR6 4x DP, USB-C PCI-E",780.00,EUR,Gebraucht,christianb5653,https://www.ebay.de/itm/147073293644?_skw=Quadro+RTX&hash=item223e405d4c:g:NMwAAeSw-ExpWtXE,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA QUADRO RTX 4000 8GB GDDR6 Graphic Card,813.24,EUR,Gebraucht,yiermei,https://www.ebay.de/itm/396321731452?_skw=Quadro+RTX&hash=item5c469db37c:g:BrkAAOSwdrBl9-~G,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,HP Nvidia Quadro RTX 5000 16GB GDDR6 PCIe 3.0 X16 4x DP 1x USB-C GPU L44055-001,779.44,EUR,Used,servershopping,https://www.ebay.de/itm/117003447676?_skw=Quadro+RTX&hash=item1b3df2ed7c:g:9NYAAeSwzrZpeEKb,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,HP NVIDIA RTX5000 QUADRO | 16 GB GDDR6 | 4x DP PCIE 3.0,799.00,EUR,Gebraucht,server-store-at,https://www.ebay.de/itm/318072523967?_skw=Quadro+RTX&hash=item4a0e998cbf:g:eFYAAeSwXBNpx~gZ,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,Dell NVIDIA QUADRO RTX 5000 16GB GDDR6 PCI-E Grafikkarte,609.93,EUR,Gebraucht,t-traderz,https://www.ebay.de/itm/227513323025?_skw=Quadro+RTX&hash=item34f8d9ce11:g:1zIAAOSwME5m21CG,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,"Nvidia Quadro RTX 4000, 8GB GDDR6, 3x DP, USB-C (PNY VCQRTX4000-PB)",780.30,EUR,Gebraucht,diskclubs-de,https://www.ebay.de/itm/168307741188?_skw=Quadro+RTX&hash=item272fec5204:g:QCEAAeSwzGVp3fYe,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,L44054-001 L40547-002 HP NVIDIA Quadro RTX 6000 24GB GDDR6 Grafikkarte,832.27,EUR,Gebraucht,cloud_storage_corp,https://www.ebay.de/itm/188837566549?_skw=Quadro+RTX&hash=item2bf7989855:g:LKwAAeSwq4Fpxjek,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA Quadro RTX 6000 24GB GDDR6 Grafikkarte Turbine DELL 0GH07G GH07G,831.60,EUR,Gebraucht,cloud_storage_corp,https://www.ebay.de/itm/188535633565?_skw=Quadro+RTX&hash=item2be599769d:g:A5UAAOSwwN5oNIp2,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,NVIDIA Quadro RTX 6000 24GB Passive Graphics Card GDDR6 699-2G150-0230-505 GPU,939.00,EUR,Gebraucht,it_yun,https://www.ebay.de/itm/358645265813?_skw=Quadro+RTX&hash=item5380ec7595:g:HPUAAeSwskFqlTV5,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,HP Grafikkarte Quadro RTX 6000 24GB 4x DP 1x USB-C PCI-E - L44054-001,1000.00,EUR,Gebraucht,07sc_54,https://www.ebay.de/itm/157071221358?_skw=Quadro+RTX&hash=item24922ca26e:g:K1YAAOSwvEhoRD0C,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,HP Nvidia Quadro RTX A4000 16GB CAD Grafikkarte PCIe 4.0 x16,999.00,EUR,Gebraucht,motorboogie,https://www.ebay.de/itm/298536725960?_skw=Quadro+RTX&hash=item45822cedc8:g:wF0AAeSw-DtqZ2QQ,EBAY_DE,526.636,1098.0
Nvidia Quadro RTX,Dell NVIDIA Quadro RTX 6000 24GB Graphics Card | 263NN,1079.14,EUR,Gebraucht,etb-technologies,https://www.ebay.de/itm/377401225870?_skw=Quadro+RTX&hash=item57deddb28e:g:x7MAAeSwjZxqdc0h,EBAY_DE,526.636,1098.0
