query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 3090,ASUS GeForce 3090 RTX Turbo 24GB (mehrere vorhanden),1300.00,EUR,Gebraucht,surfinger1000,https://www.ebay.de/itm/287574944368?_skw=RTX+3090&hash=item42f4cd6a70:g:wDUAAeSwpSVqlAAA,EBAY_DE,1200.0,2398.5
RTX 3090,Gainward GeForce RTX 3090 Phantom GS 24GB GDDR6X - Top Zustand - OVP - AI / KI /,1349.00,EUR,Gebraucht,robotronic71,https://www.ebay.de/itm/298662408333?_skw=RTX+3090&hash=item4589aab08d:g:WlsAAeSwl2dqovgu,EBAY_DE,1200.0,2398.5
RTX 3090,GIGABYTE GeForce RTX 3090 GAMING OC 24GB GDDR6X Grafikkarte GPU - guter Zustand,1349.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318850310515?_skw=RTX+3090&hash=item4a3cf5a173:g:8jkAAeSwbWFqoegu,EBAY_DE,1200.0,2398.5
RTX 3090,"EVGA GeForce RTX 3090 XC3 ULTRA 24GB GDDR6X Grafikkarte getestet, kein Mining",1349.00,EUR,Gebraucht,gokuito_berlin,https://www.ebay.de/itm/158279170209?_skw=RTX+3090&hash=item24da2c78a1:g:RygAAeSw6i5qowWD,EBAY_DE,1200.0,2398.5
RTX 3090,MSI GeForce RTX 3090 TI GAMING X TRIO 24 GB,1379.99,EUR,Gebraucht,ob-iwahn,https://www.ebay.de/itm/278349922482?_skw=RTX+3090&hash=item40cef2c0b2:g:s08AAeSw9XJqnb5Z,EBAY_DE,1200.0,2398.5
RTX 3090,"Aorus RTX3090 24GB GDDR6X Master Ki, Workstation & Gaming GPU - OHNE KÜHLER!",1390.00,EUR,Gebraucht,hardwaredrop,https://www.ebay.de/itm/407202964384?_skw=RTX+3090&hash=item5ecf3023a0:g:2E8AAeSwBsNqoLo4,EBAY_DE,1200.0,2398.5
RTX 3090,ASUS TUF Gaming GeForce RTX 3090 OC 24GB GDDR6X Grafikkarte GPU - Top Zustand,1394.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318850247815?_skw=RTX+3090&hash=item4a3cf4ac87:g:cOwAAeSw4iBqLdUF,EBAY_DE,1200.0,2398.5
RTX 3090,"EVGA GeForce RTX 3090 XC3 Gaming, 24GB GDDR6X Nvidia Grafikkarte - Top Zustand",1394.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318854172013?_skw=RTX+3090&hash=item4a3d308d6d:g:QvkAAeSw9aJqow98,EBAY_DE,1200.0,2398.5
RTX 3090,RTX 3090 Asus TUF Gaming OC - 24GB GDDR6X - 12 Monate Gewährleistung -,1399.90,EUR,Gebraucht,kloverwatches,https://www.ebay.de/itm/198615217750?_skw=RTX+3090&hash=item2e3e63b656:g:yN8AAeSwHQBqmUxc,EBAY_DE,1200.0,2398.5
RTX 3090,Gigabyte AORUS RTX 3090 Ti Xtreme Waterforce 24GB,1400.00,EUR,Gebraucht,hart-4522,https://www.ebay.de/itm/147547379572?_skw=RTX+3090&hash=item225a825774:g:lywAAeSwMtZqhb~K,EBAY_DE,1200.0,2398.5
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte...,1450.00,EUR,Gebraucht,l_95906,https://www.ebay.de/itm/404345291635?_skw=RTX+3090&hash=item5e24db8373:g:GX0AAOSwo3Vkk3Af,EBAY_DE,1200.0,2398.5
RTX 3090,MSI GeForce RTX 3090 Ti SUPRIM X 24GB GDDR6X,1499.00,EUR,Gebraucht,dopajepa,https://www.ebay.de/itm/198632429526?_skw=RTX+3090&hash=item2e3f6a57d6:g:9vsAAeSwcvJqosPD,EBAY_DE,1200.0,2398.5
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte,1500.00,EUR,Gebraucht,ardeshir00bianca,https://www.ebay.de/itm/318490220224?_skw=RTX+3090&hash=item4a277f16c0:g:O58AAeSw3uFp5zof,EBAY_DE,1200.0,2398.5
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte,1500.00,EUR,Gebraucht,ardeshir00bianca,https://www.ebay.de/itm/318503278538?_skw=RTX+3090&hash=item4a284657ca:g:7TEAAeSwu7FqHLuU,EBAY_DE,1200.0,2398.5
RTX 3090,ASUS NVIDIA GeForce RTX 3090 24GB Turbo Graphics Card Server Disassembly GPU,1541.66,EUR,Gebraucht,long2207,https://www.ebay.de/itm/389810105369?_skw=RTX+3090&hash=item5ac27e2c19:g:f-kAAeSw-cBpx3Ye,EBAY_DE,1200.0,2398.5
RTX 3090,"EVGA GeForce RTX 3090 Ti FTW3 Black Gaming, 24GB GDDR6X GPU Grafikkarte - Top Zu",1549.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318850265578?_skw=RTX+3090&hash=item4a3cf4f1ea:g:7Q0AAeSwIf5qoeYq,EBAY_DE,1200.0,2398.5
RTX 3090,GALAXY NVIDIA AMPERE Accelarator GEFORCE RTX3090 24G turbo AI deep learning GPU,1599.00,EUR,Gebraucht,ruixiu,https://www.ebay.de/itm/286825238717?_skw=RTX+3090&hash=item42c81dd0bd:g:ttYAAeSw83ZoypOf,EBAY_DE,1200.0,2398.5
RTX 3090,MSI NVIDA GeForce  RTX 3090Ti GAMING X TRIO Graphics Card GPU 24G GDDR6X,1599.00,EUR,Gebraucht,newdisk,https://www.ebay.de/itm/127774066669?_skw=RTX+3090&hash=item1dbfed87ed:g:DxkAAeSw3ulpxiJM,EBAY_DE,1200.0,2398.5
RTX 3090,MSI GeForce RTX 3090 SUPRIM X 24G 24GB GDDR6X – Top Zustand,1599.00,EUR,Gebraucht,tunyaz16,https://www.ebay.de/itm/318804982157?_skw=RTX+3090&hash=item4a3a41f98d:g:byoAAeSwyIRqlY2w,EBAY_DE,1200.0,2398.5
RTX 3090,GIGABYTE NVIDIA GEFORCE RTX 3090 24GB GPU Founders Edition Graphics Card OEM,1599.00,EUR,Gebraucht,ruixiu,https://www.ebay.de/itm/287123278420?_skw=RTX+3090&hash=item42d9e18a54:g:nhIAAeSwd1lphG37,EBAY_DE,1200.0,2398.5
RTX 3090,NVIDIA GEFORCE RTX 3090 Founders Edition GDDR6X 24GB Good Condition,1599.00,EUR,Gebraucht,ruixiu,https://www.ebay.de/itm/286690116022?_skw=RTX+3090&hash=item42c01001b6:g:Yw0AAOSwpftmBSZz,EBAY_DE,1200.0,2398.5
