query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 4070 Ti Super,"Gainward GeForce RTX 4070 Ti Super Phoenix, 16GB GDDR6X GPU Grafikkarte",850.00,EUR,Gebraucht,yukano1978,https://www.ebay.de/itm/158297129141?_skw=RTX+4070+Ti+Super&hash=item24db3e80b5:g:3KIAAeSwh9BqqiRv,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,Palit GeForce RTX 4070 Ti SUPER JetStream OC 16 GB GDDR6X HDMI DP PCI-E  #334592,850.00,EUR,Gebraucht,survivalt_47,https://www.ebay.de/itm/388820690122?_skw=RTX+4070+Ti+Super&hash=item5a8784e4ca:g:DqEAAeSwj3xomRsX,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,Gigabyte GeForce RTX 4070 Ti Super Windforce OC 16G | 16GB GDDR6X | Top Zustand,980.00,EUR,Gebraucht,raul232,https://www.ebay.de/itm/277743733064?_skw=RTX+4070+Ti+Super&hash=item40aad10948:g:DpwAAeSwKG5pmX2s,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,⭐ ASUS GeForce RTX 4070 Ti Super ROG Strix O16G OC ⭐,1019.00,EUR,Gebraucht,h30_70,https://www.ebay.de/itm/318651142738?_skw=RTX+4070+Ti+Super&hash=item4a31169252:g:I1cAAeSwSZ1pQGiK,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,ASUS ROG Strix RTX 4070 Ti Super Grafikkarte,1050.00,EUR,Gebraucht,fusion_stan,https://www.ebay.de/itm/127983442815?_skw=RTX+4070+Ti+Super&hash=item1dcc685b7f:g:TAEAAOSwzcNoGjmd,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,NVIDIA YESTON RTX 4070 Ti SUPER Sakura 16GB 256 Bit GDDR6X HDMI PCIe 4.0 x16,1069.00,EUR,Gebraucht,diskclubs-eu,https://www.ebay.de/itm/227123634770?_skw=RTX+4070+Ti+Super&hash=item34e19fa252:g:6V4AAeSwcXppN9cG,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,KFA2 GeForce RTX 4070 Ti SUPER EX Gamer inkl. Razer eGPU Core X,1100.00,EUR,Gebraucht,ic_real,https://www.ebay.de/itm/147569324847?_skw=RTX+4070+Ti+Super&hash=item225bd1332f:g:tK4AAeSwXfFqpflB,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,NVIDIA YESTON RTX 4070 Ti SUPER Sakura 16GB 256 Bit GDDR6X HDMI PCIe 4.0 x16,1112.19,EUR,Gebraucht,diskclubs-de,https://www.ebay.de/itm/166874596875?_skw=RTX+4070+Ti+Super&hash=item26da80460b:g:7OQAAOSwZrpmmPpi,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,NVIDIA GeForce RTX 4070 Ti Super 16GB Turbo GPU GDDR6X 2SLOT Graphics Card,1250.00,EUR,Gebraucht,ruixiu,https://www.ebay.de/itm/287034174192?_skw=RTX+4070+Ti+Super&hash=item42d491eaf0:g:xxQAAeSw4cVpTjHd,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,ASUS ROG-STRIX-RTX4070TIS-O16G-GAMING RTX 4070 Ti Super - B-Ware,1270.17,EUR,Gebraucht,arltcomputergmbh,https://www.ebay.de/itm/188358295286?_skw=RTX+4070+Ti+Super&hash=item2bdb077ef6:g:wA8AAeSwcM9p~JTi,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,ZOTAC NVIDIA GeForce RTX 4070 Ti Super Grafikkarte Weiß Triple-Fan,1330.00,EUR,Gebraucht,sezer-77,https://www.ebay.de/itm/128081340742?_skw=RTX+4070+Ti+Super&hash=item1dd23e2946:g:pQEAAeSwk1Jqlxfk,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,ASUS ROG STRIX GeForce RTX 4070 Ti SUPER 16GB GDDR6X GAMING AI Graphics Card GPU,1450.00,EUR,Gebraucht,zepenl-0,https://www.ebay.de/itm/176921412430?_skw=RTX+4070+Ti+Super&hash=item293156834e:g:PgsAAOSwu4pn09Jf,EBAY_DE,827.6,1661.43375
RTX 4070 Ti Super,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER White 16GB GDDR6X GPU getestet,1560.04,EUR,Gebraucht,risingsungaming,https://www.ebay.de/itm/206365794917?_skw=RTX+4070+Ti+Super&hash=item300c5c2265:g:TPMAAeSwb5ZqOHXK,EBAY_DE,827.6,1661.43375
