query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 4080 Super,ZOTAC Gaming GeForce RTX 4080 SUPER 16GB GDDR6X Trinity Black-Edition Triple-Fan,870.00,EUR,Gebraucht,goldenv,https://www.ebay.de/itm/327301344790?_skw=RTX+4080+Super&hash=item4c34ae2e16:g:4E0AAeSwXRhqd6rD,EBAY_DE,799.6,1755.0
RTX 4080 Super,NVIDIA GeForce RTX 4080 Super 16GB GDDR6X Gaming Grafikkarte Acer OEM,899.00,EUR,Gebraucht,nmc-systems,https://www.ebay.de/itm/318318043136?_skw=RTX+4080+Super&hash=item4a1d3be000:g:wicAAeSw8iBqCfEV,EBAY_DE,799.6,1755.0
RTX 4080 Super,MSI RTX 4080 Super 16g Ventus 3x OC 16GB GDDR6X - GeForce Grafikkarte,920.00,EUR,Gebraucht,alinoba0,https://www.ebay.de/itm/318415070104?_skw=RTX+4080+Super&hash=item4a23046398:g:tF0AAeSw9nRpvlCC,EBAY_DE,799.6,1755.0
RTX 4080 Super,ASUS TUF Gaming GeForce RTX 4080 Super OC Edition,949.00,EUR,Gebraucht,jedijr007,https://www.ebay.de/itm/407161085525?_skw=RTX+4080+Super&hash=item5eccb11e55:g:QDEAAeSwS7ZqiF2W,EBAY_DE,799.6,1755.0
RTX 4080 Super,ZOTAC GeForce RTX 4080 SUPER Trinity Black 16GB GDDR6X mit OVP,950.00,EUR,Gebraucht,arslanme,https://www.ebay.de/itm/137659554293?_skw=RTX+4080+Super&hash=item200d2619f5:g:KNoAAeSwS3BqjYxv,EBAY_DE,799.6,1755.0
RTX 4080 Super,RTX 4080 SUPER AMP – Garantie bis 09/2027 – OVP – Top Zustand,970.00,EUR,Gebraucht,matip_7363,https://www.ebay.de/itm/366259397853?_skw=RTX+4080+Super&hash=item5546c2e4dd:g:3y8AAeSwqcxpn2nZ,EBAY_DE,799.6,1755.0
RTX 4080 Super,Gigabyte GeForce RTX 4080 SUPER AERO OC 16G (OVP),1000.00,EUR,Gebraucht,starmeys,https://www.ebay.de/itm/376770562117?_skw=RTX+4080+Super&hash=item57b9468845:g:4AsAAeSwXXlpOtwx,EBAY_DE,799.6,1755.0
RTX 4080 Super,ASUS RTX 4080 SUPER 16GB Noctua OC Edition Flüssigmetall Upsiren UTP-8 Putty,1099.90,EUR,Gebraucht,ps4f_16,https://www.ebay.de/itm/287276144131?_skw=RTX+4080+Super&hash=item42e2fe1603:g:35cAAeSwm7lp4cik,EBAY_DE,799.6,1755.0
RTX 4080 Super,ASUS TUF Gaming GeForce RTX 4080 Super,1100.00,EUR,Gebraucht,gc_kirdney84,https://www.ebay.de/itm/327062638153?_skw=RTX+4080+Super&hash=item4c2673ce49:g:FYwAAeSwFKhpwA5T,EBAY_DE,799.6,1755.0
RTX 4080 Super,MSI GeForce RTX 4080 SUPER – High-End Grafikkarte,1100.00,EUR,Gebraucht,marifr794,https://www.ebay.de/itm/366042326925?_skw=RTX+4080+Super&hash=item5539d2a78d:g:6g4AAeSwaXxpNC4V,EBAY_DE,799.6,1755.0
