query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 3090,RTX 3090 24GB Palit GamingPro Nvidia AI GPU graphics card grafikkarte,1190.00,EUR,Gebraucht,mypccampbg,https://www.ebay.de/itm/237031290593?_skw=RTX+3090&hash=item37302a76e1:g:Wt4AAeSwN0tqjuvi,EBAY_DE,1110.938,2250.0
RTX 3090,RTX 3090 24GB Zotac Trinity Nvidia AI GPU graphics card grafikkarte,1190.00,EUR,Gebraucht,mypccampbg,https://www.ebay.de/itm/237031317140?_skw=RTX+3090&hash=item37302ade94:g:CxEAAeSwsx9qju9X,EBAY_DE,1110.938,2250.0
RTX 3090,Gigabyte GeForce RTX 3090 Vision OC 24G (24 GB) – Getestet – OVP,1199.00,EUR,Gebraucht,ze_elias,https://www.ebay.de/itm/327323091146?_skw=RTX+3090&hash=item4c35fa00ca:g:dGIAAeSwVsxqi1Fk,EBAY_DE,1110.938,2250.0
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte...,1250.00,EUR,Gebraucht,tjungblut,https://www.ebay.de/itm/278308854735?_skw=RTX+3090&hash=item40cc801bcf:g:CHcAAeSwiIVqjRKr,EBAY_DE,1110.938,2250.0
RTX 3090,RTX 3090 Palit GameRock 24GB Grafikkarte - wie neu - 12 Monate Gewährleistung -,1279.90,EUR,Gebraucht,klover-electronics,https://www.ebay.de/itm/188843338330?_skw=RTX+3090&hash=item2bf7f0aa5a:g:mqgAAeSwM89qjr1C,EBAY_DE,1110.938,2250.0
RTX 3090,RTX 3090 Asus Rog Strix Wassergekühlt Corsair Hydro X Series XG7 - 12 M. Gewährl,1299.90,EUR,Gebraucht,klover-electronics,https://www.ebay.de/itm/188805538487?_skw=RTX+3090&hash=item2bf5afe2b7:g:-XcAAeSwGflqgsB3,EBAY_DE,1110.938,2250.0
RTX 3090,"INNO3D GeForce RTX 3090 Ti X3 OC, 24GB GDDR6X Grafikkarte GPU - guter Zustand",1299.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318778897999?_skw=RTX+3090&hash=item4a38b3f64f:g:cCsAAeSwWEBqUB8z,EBAY_DE,1110.938,2250.0
RTX 3090,"MSI GeForce RTX 3090 Gaming X Trio 24G, 24GB GDDR6X GPU - Top Zustand",1299.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318778938440?_skw=RTX+3090&hash=item4a38b49448:g:sJ0AAeSwMtBqNeWg,EBAY_DE,1110.938,2250.0
RTX 3090,GIGABYTE AORUS GeForce RTX 3090 Master 24GB GDDR6X Grafikkarte GPU,1299.00,EUR,Gebraucht,olaf_bor,https://www.ebay.de/itm/820019507537?_skw=RTX+3090&hash=itembeecf8b151:g:P-QAAeSwRUZqhLCA,EBAY_DE,1110.938,2250.0
RTX 3090,ASUS ROG Strix GeForce RTX 3090 (24GB) in OVP – Sehr guter Zustand,1300.00,EUR,Gebraucht,erd_2058,https://www.ebay.de/itm/318781447421?_skw=RTX+3090&hash=item4a38dadcfd:g:OpQAAeSwoAJqiJLd,EBAY_DE,1110.938,2250.0
